epoch,loss,acc
1,6.782434549927712,48.11
2,10.35389964580536,51.88
3,14.53500257730484,57.46
4,18.67879436016083,59.12
5,22.83181583881378,60.36
6,27.066029119491578,64.16
7,31.32378281354904,65.19
8,35.57369840145111,65.86
9,39.89471561908722,67.06
10,44.15610368251801,67.96
11,48.456909847259524,68.98
12,52.76767225265503,68.81
13,57.01572470664978,69.05
14,61.306910681724545,71.0
15,65.6012683391571,70.75
16,69.86946110725403,71.42
17,74.11252474784851,72.65
18,78.35755333900451,72.2
19,82.61533298492432,72.39
20,86.77907366752625,72.64
21,91.04795045852661,72.56
22,95.2531307220459,74.45
23,99.46963129043579,73.52
24,103.69577293395996,74.79
25,107.92533707618713,75.14
26,112.05304036140441,75.29
27,116.18360600471496,74.89
28,120.39556822776794,75.06
29,124.57275104522705,75.14
30,128.79209480285644,76.13
31,132.95074577331542,74.21
32,137.10001497268678,75.47
33,141.27279405593873,75.16
34,145.48311862945556,76.06
35,149.56579942703246,76.56
36,153.81749534606934,75.71
37,157.97242527008058,76.04
38,162.06672477722168,76.91
39,166.27847080230714,76.95
40,170.4614830970764,77.15
41,174.62678718566895,76.73
42,174.49192981719972,76.36
43,174.31224889755248,77.47
44,174.17627515792847,77.86
45,174.04082136154176,77.55
46,173.88484840393068,78.02
47,173.76950445175171,77.43
48,173.7251277923584,78.07
49,173.60867052078248,77.42
50,173.37589635849,78.11
51,173.3490340232849,77.86
52,173.2779130935669,77.31
53,173.106862449646,78.02
54,173.11765127182008,78.07
55,172.98146047592164,78.04
56,172.90359115600586,78.59
57,172.84867744445802,78.14
58,172.78430471420288,78.81
59,172.66131563186644,78.14
60,172.60331621170045,79.17
61,172.52533531188965,78.63
62,172.55095081329347,78.49
63,172.52202882766724,78.84
64,172.42136602401735,78.7
65,172.32571840286255,79.15
66,172.25635461807252,78.46
67,172.2387466430664,78.52
68,172.1507519721985,79.2
69,172.22273025512695,79.05
70,172.12235116958618,79.09
71,172.06528902053833,79.37
72,172.05246934890747,79.01
73,172.01656465530397,79.36
74,171.99829263687133,79.1
75,171.9664960861206,79.41
76,171.94084825515748,79.81
77,171.82542743682862,79.11
78,171.8513563156128,79.23
79,171.77991418838502,79.51
80,171.80185918807985,79.34
81,171.75435829162598,79.63
82,171.80371646881105,79.31
83,171.7346287727356,79.66
84,171.69513025283814,79.6
85,171.73698415756226,79.95
86,171.68810167312623,79.48
87,171.67519969940184,79.57
88,171.62563285827636,79.43
89,171.70434951782227,79.36
90,171.6652280807495,79.8
91,171.64031352996827,79.39
92,171.63216371536254,79.77
93,171.62079200744628,79.33
94,171.57557907104493,79.6
95,171.67487602233888,79.79
96,171.55971994400025,79.79
97,171.57959394454957,79.41
98,171.60914878845216,79.61
99,171.6104853630066,79.29
100,171.58709878921508,79.79
