epoch,loss,acc
1,4.604680716991425,1.019047619047619
2,4.601228639483452,1.0809523809523809
3,4.598556607961655,1.361904761904762
4,4.5926084369421005,1.5809523809523809
5,4.578076884150505,2.669047619047619
6,4.534359946846962,2.8142857142857145
7,4.400228068232536,5.2214285714285715
8,4.2430368810892105,6.526190476190476
9,4.150571376085281,7.321428571428571
10,4.06636306643486,8.252380952380953
11,3.981091469526291,8.457142857142857
12,3.9420792534947395,10.35
13,3.8758390471339226,11.771428571428572
14,3.8390856087207794,11.58095238095238
15,3.7632655799388885,12.480952380952381
16,3.723241440951824,13.766666666666667
17,3.6694049164652824,13.780952380952382
18,3.6124150529503822,13.404761904761905
19,3.5717672035098076,14.538095238095238
